cip_govt_3m_2020,log_q_eom,diffy_3m_2020,excessequity3mo,log_ip_oecd_USD,diff_log_ip,cip_govt_3m_2020_lb,log_q_eom_lb,diffy_3m_2020_lb,excessequity3mo_lb,log_ip_oecd_USD_lb,diff_log_ip_lb,cip_govt_3m_2020_ub,log_q_eom_ub,diffy_3m_2020_ub,excessequity3mo_ub,log_ip_oecd_USD_ub,diff_log_ip_ub
25,39.818244133711,8.74037460922297,-136.148491132602,-42.1090822527611,42.8606429705824,25,-91.9411900636045,4.52737349999779,-257.416355379846,-49.6642025028455,19.859869089398,25,69.7120623998597,27.7481625026375,-32.9464137198559,-13.3933992568476,57.545052269411
3.28643596457294,63.9930955619592,1.47884413700229,-148.121070713616,-67.0022908550957,26.2400953785831,-1.04119707830027,-85.7579106450524,-4.74261966118768,-267.743795973479,-80.5778607035574,-6.34680570118704,6.36657326164731,108.875782241716,21.0539462461542,-26.8081639431926,-34.1785793034566,46.8819655536029
-0.67980747308599,69.2379269602646,-0.019223536600456,-1.68312348147476,-75.6449371712945,20.8617623142652,-3.14968215709474,-82.151963145055,-6.24244218265846,-32.5624675062706,-92.9652996149174,-11.303986894656,1.89082377801728,111.991412462484,18.8377969286633,59.8615311502569,-42.3763184610922,42.798592654809
-1.86748426409537,65.5583241715043,-1.10000293611072,15.6272887710281,-71.9095767997729,20.6690813752506,-3.90552354517835,-82.4167530005797,-7.29240678114017,-15.1597961358642,-90.8669796021048,-10.698886795623,0.466623102592159,102.911422004368,16.3721913183103,57.54547934194,-38.7369156117535,42.8594500192178
-1.96335394758976,60.4532407856468,-1.76338922612964,21.188840678872,-66.2798941610648,21.4196498912731,-3.52507984338583,-81.8260423977896,-7.90410964006825,-2.80904259924934,-87.0077065404775,-9.30851587793519,0.251084435131213,93.9492105251039,13.9764538280494,58.6304590894483,-33.0166998226578,43.4528385918057
-1.81437077283455,55.3081229275799,-2.24225061791437,20.082802778705,-60.3790523999237,22.2962796562916,-3.06574397559962,-81.9086693669926,-8.20442550124634,-1.4710280980473,-82.9865492545825,-8.14524041811521,0.167316760014732,86.0176037194966,12.181485998472,49.6753935418049,-26.2623837629852,44.254369908983
-1.60784583091867,50.5454789003605,-2.58408833798247,17.7873772661865,-54.8326687455506,23.0408531000359,-2.58645097632238,-80.7412505068188,-8.33386416278152,-0.660329913394827,-79.6766738093567,-7.34785971342961,0.154594119349975,78.6980531240071,10.5451529755329,42.0419542517734,-20.0911522230866,44.570811856593
-1.40285991569242,46.2133946259092,-2.81805566201164,15.2750762610083,-49.7646118794952,23.6103948960123,-2.2093969282004,-79.9166343904619,-8.4051420886127,-1.29214189345568,-76.3314408949171,-6.62383211648705,0.179511395367428,73.3460433325881,9.09234813829396,35.5428495375808,-14.4998806886271,44.8413244554676
-1.2135637207094,42.2776272975976,-2.96193631862325,12.8914559595132,-45.1874795036465,24.0118683976927,-1.88369115853288,-77.4677899788965,-8.22614826735454,-2.58049668656389,-73.5561954596363,-6.49431695219141,0.204004360770073,68.2649730891652,7.86675182951635,30.6098518453072,-9.78967456321099,44.7197797130003
-1.04266488907048,38.6860299669804,-3.03001629734928,10.7104594366547,-41.0786047979098,24.2649921503062,-1.63925004202459,-74.6608694012192,-8.06132893206144,-3.70611021191154,-70.8671103533867,-6.40994451646446,0.226081547624544,63.2326789313515,6.79120297542505,26.8819405521116,-5.74587445217642,44.2841996207917
-0.889581125625364,35.3884927155628,-3.03457310869093,8.74273931100468,-37.406811606313,24.3905850171258,-1.42734857838023,-71.4475726636251,-7.84963993687332,-4.56586396854701,-68.3244495646391,-6.46956798669622,0.264059312581954,58.7375165729408,5.90512565044827,24.4432166371754,-2.17171220665913,43.8782006037839
-0.752947948687153,32.3413841081719,-2.98648323544954,6.97977666280848,-34.1393488048318,24.4077247105932,-1.2655025229109,-68.6917441809201,-7.57250660051374,-5.40276255551053,-65.4777420024769,-6.71250925674952,0.288966118191352,55.3762264073759,5.15005627000193,22.4411686397881,0.583708777459425,43.3010984468282
